origin,replace
在建中,正在建造中
當前,目前
可卡因,古柯鹼
臺,台
合同,合約
質量,品質
她是個大姑娘了,她是大人了
應用,套用
全屏,全螢幕
呆在,待在
呆過,待過
愛人,伴侶
沒法,沒辦法
部件,零件
看上去,看起來
幾周,幾週
夥計們,各位
夥計！,朋友
夥計,朋友
這兒,這裡
那兒,那裡
哪兒,哪裡
凶手,兇手
併,並
點兒,點
土豆,馬鈴薯
這會兒,現在
教程,教學
禁用,停用
天后,天後
迴歸,回歸
提取,開採
檢視,查看
索爾茲伯裡廣場,索爾茲伯里廣場
盡快,儘快
艦炮,艦砲
必不可少,不可或缺
回覆健康,回復健康
排程,調度
丟失,遺失
設定資訊宣傳欄,設置資訊宣傳欄
設定這麼多應急班次,設置這麼多應急班次
設定好了一個刑場,設置好了一個刑場
設定燈塔,設置燈塔
設定前哨站,設置前哨站
設定新的運輸,設置新的運輸
偷盜食物,偷竊食物
訊息,消息
型別,類型
乾的,幹的
乾重活了,幹重活了
乾點啥,幹點什麼
里面,裡面
巖,岩
廢墟里,廢墟裡
筆記本里,筆記本裡
添加,增加
出髮,出發
必需,必須
必須品,必需品
身份,身分
髮配,發配
髮出,發出
呆過,待過
引數,參數
面包,麵包
很疼，對不對？我知道很疼，疼就對了！,很痛，對不對？我知道很痛，痛就對了！
想象,想像
領導的,領袖的
好領導,好領袖
無能的領導,無能的領袖
他們的領導,他們的領袖
比首領更好的領導,比首領更好的領袖
愚蠢的領導,愚蠢的領袖
我們的領導,我們的領袖
像樣的領導,像樣的領袖
好點的領導,好點的領袖
英明領導,英明的領袖
給力,夠力
領導身後,領袖身後
是我們還是領導,是我們還是領袖
罷工領袖,罷工領袖
值得擁有更好的領導,值得擁有更好的領袖
需要一位新領導,需要一位新領袖
我們需要新的領導,我們需要新的領袖
我們失敗的領導,我們失敗的領袖
決不,絕不
照明瞭,照明了
岩滑,坍方
水平,水準
制作,製作
鬥爭,抗爭
制鋼,煉鋼
已制好,已製作完成
隧道里,隧道裡
峽谷里,峽谷裡
征程,征途
真凶,真兇
行凶,行兇
幫凶,幫兇
最凶,最兇
帝國的邊界,帝國邊境
拓展包,擴充包
解壓,紓壓
采集,採集
大夥兒,大家
花兒,花朵
小夥子們，,各位
偵察員,偵查員
工棚,工寮
應急班次,緊急輪班
反饋,回饋
In the Care House the gravely ill and the cripples are kept alive on half rations.</n>Base heating level: 1.,在養護所中，重病與殘障人員可依靠半量配給維生。</n>基礎供暖等級: 1.
In the Care House the gravely ill and cripples will be kept alive on half rations.,養護所可讓重病與殘障人員依靠半量配給存活。
Build the Care House to keep the gravely ill and the cripples alive at a reasonable cost.,建造養護所，可用合理成本讓重病與殘障人員生存下來。
Care House,養護所
凍僵的樹木,冰封的樹木
嚴重凍僵的男孩,嚴重失溫的男孩
被凍僵的家庭,被凍死的家庭
凍僵的屍體,冰凍的屍體
糾纏在一起凍僵了,擁抱在一起凍死了
高熱,高溫
裡奇,里奇
計程車氣,的士氣
開封,拆封
質量,品質
呆在,待在
索要,勒索
煙癮,菸癮
倒黴,倒楣
捱餓,挨餓
燒燬,燒毀
其它,其他
幹活,工作
拆卸,拆解
就將,即將
即將全部死亡,將全部死亡
我們即將把他們繩之以法,我們就把他們繩之以法
計劃,計畫
已計畫進行考察,已安排進行考察
正計畫離開,正打算離開
計畫在18天後,預定在18天後
他們計畫將其分給,他們打算將其分給
譴責您計畫控制,譴責您意圖控制
正在計畫出席,打算出席
在計畫建造,原定建造
已按計畫進行,已按照計畫進行
已計畫午夜遊行,已擬定午夜遊行
計畫第二天出發,預計第二天出發
計畫用來,打算用來
有所計畫,有所規劃
計畫自殺,預謀自殺
配置,指派
退出,離開
回復健康,恢復健康
回到崗位,返回工作
崗位,職務
工作職務,工作崗位
堅守職務,堅守崗位
離開職務,離開崗位
留在職務,留在崗位
鋼廠,煉鋼廠
破環,破壞
救助速度,治療速度
糧食變成美餐,食材變成美餐
建造鋼廠,建造煉鋼廠
提高鋼產量,提高鋼鐵產量
增加鋼產,增加鋼鐵產量
極大提高,大幅度提高
風險極大,風險極高
運至倫敦,運回倫敦
古柯鹼片,古柯鹼藥片
木糠,木屑
將擴充套件,將擴展
並擴充套件其供熱場,並擴展其供熱場
範圍擴充套件,範圍擴展
三個擴充套件包：The Last Autumn，On The Edge以及The Rifts,三個DLC：最後的秋天，帝國邊境，以及裂縫
半徑擴充套件10%,半徑擴展10%
擴充套件50%,擴展50%
供熱場擴充套件,供熱場擴展
我們已經用防護擴充套件程式調整機器人，這樣機器人能更高效地為我們認知中最脆弱的東西——人類身體而服務。我們還可以移除一些非必要零件。,我們已經為機器人加裝了額外的防護裝置，讓它們能更有效地保護我們所知最脆弱的東西——人類的身體。同時，我們還能拆除一些非必要的零件。
擴充套件,DLC
高效地,有效地
壞掉的電梯,損壞的電梯
壞掉的食物,腐敗的食物
壞掉的機器人,故障的機器人
機器人壞掉了,機器人故障了
壞掉的傢俱,損壞的傢俱
壞掉汽車,故障汽車
壞掉的汽車,故障的汽車
壞掉的地方,故障的地方
治療室,診療室
警衛站,警備站
養護所,療養所
決鬥場,格鬥場
信仰守護者,信仰衛士
信仰之敵,異端分子
炭窯,木炭窯
煉煉鋼廠,煉鋼廠
製作高階冰牆鑽機，大大提高冰牆採木材量,製作進階冰牆鑽機，大幅提升從冰牆取得的木材量
考察隊,探險隊
刑場,行刑場
一單位生鮮食材可製成兩份餐食,每單位新鮮食物可製成兩份餐點
遇災,遭遇災難
燈塔偵察隊無法看到先前發現,燈塔偵察隊無法回溯先前的發現
食物配給不足,食物供應不足
食物配，,食物配給，
一些倫敦幫的人,部分倫敦幫的人
晚間祈禱,夜間禱告
倫敦幫的破壞行為,倫敦幫的惡意破壞行動
死屍廢物利用,屍體再利用
患者鑑別分類,患者檢傷分類
工頭能讓本設施內的所有工人以最佳狀態工作。你得給工頭提供食物。,工頭可以讓設施內的所有工人維持最高工作效率，但你必須為工頭提供額外的食物配給。
將燒焦的木材變成炭,將木材燒製成木炭
信仰衛士會把人們召集起來，帶他們遊行。,信仰衛士會召集民眾，帶領他們進行遊行。
使用蒸汽融化出一條通往冰牆的隧道,利用蒸汽鑿穿冰牆，形成通道
這個住所適於居住,這個住所適合居住
伙房裡的食物供應不足！要麼是沒有足夠的生鮮食材可以製成食物配給，要麼就是伙房不能快速製成足夠的餐食分配給每一個人了。,伙房內食物供應不足！可能是生鮮食材不足，或伙房無法快速製作足夠的餐食。
半數病人會立即痊癒，但是大約會有四分之一的病人死去。,半數病人會立刻痊癒，但約四分之一的病人將因此死亡。
工頭可以讓設施內的所有工人維持最高工作效率，但你必須為工頭提供額外的食物配給。,工頭能提高設施內所有工人的工作效率，但需要給工頭提供額外的食物配給。
加急施工,緊急施工
美餐,豐盛餐點
假肢,義肢
我們將屍體遺棄在雪中，繼續我們的征途,我們將屍體遺棄在雪地裡，繼續踏上旅程。
遍佈,遍布
公佈,公布
宣佈,宣布
頒佈,頒布
散佈,散布
分佈,分布
佈滿,布滿
佈道,布道
無效佈局位置。,無法放置在此處。
街道佈局,街道布局
腳手架,鷹架
立馬,立刻
安全裝置,安全裝備
采用,採用
透過,通過
通過小鎮,透過小鎮
通過冰面,透過冰面
墓冢,墳塚
科學裝置,科學設備
運營,營運
冢,塚
裝置,設備
高精設備,高精密設備
驅動設備,驅動裝置
特殊設備,特殊裝置
天文台,天文臺
技術之樹,技術樹
意識之樹,意識樹
表達瞭,表達了
求生設備,求生裝置
該專利描述的設備,該專利描述的裝置
該設備為使用者提供光源和熱源,該裝置為使用者提供光源和熱源
關於義肢，它們的構造和套用,關於義肢，它們的構造和應用
安全程式,安全程序
假臂,義肢
衝滿,充滿
亟需,極需
傳送物資,發送物資
